id,name,category,occasion,platform,price,quality_rating,delivery_days,color,size,gender,description,image_keyword
1,Heavy Lehenga Choli,Lehenga Choli,Wedding,Manyavar,16270,4.1,4,Royal Blue,XS,Female,Heavy embroidered lehenga choli with dupatta. Rich zari work and mirror embellishment.,"lehenga,choli,royal blue"
2,Heavy Banarasi Saree,Banarasi Saree,Wedding,Amazon,18657,4.5,2,Royal Blue,S,Female,Heavy Banarasi Saree for Wedding occasions.,"banarasi,saree,royal blue"
3,Zari Work Kanjeevaram Saree,Kanjeevaram Saree,Wedding,Manyavar,13338,4.4,8,Peach,M,Female,Zari Work Kanjeevaram Saree for Wedding occasions.,"kanjeevaram,saree,peach"
4,Heavy Silk Saree,Silk Saree,Wedding,Myntra,19426,4.2,7,Gold,XS,Female,Heavy Silk Saree for Wedding occasions.,"silk,saree,gold"
5,Bridal Anarkali Suit,Anarkali Suit,Wedding,Amazon,13571,4.0,3,Peach,L,Female,Bridal Anarkali Suit for Wedding occasions.,"anarkali,suit,peach"
6,Embroidered Sharara,Sharara,Wedding,Meesho,16495,4.7,7,Peach,XXL,Female,Embroidered Sharara for Wedding occasions.,"sharara,peach"
7,Bridal Gharara,Gharara,Wedding,Manyavar,13981,5.0,2,Red,XXL,Female,Bridal Gharara for Wedding occasions.,"gharara,red"
8,Designer Lehenga Choli,Lehenga Choli,Wedding,Amazon,7710,4.4,8,Pink,M,Female,Heavy embroidered lehenga choli with dupatta. Rich zari work and mirror embellishment.,"lehenga,choli,pink"
9,Embellished Banarasi Saree,Banarasi Saree,Wedding,Myntra,3629,4.4,2,Red,M,Female,Embellished Banarasi Saree for Wedding occasions.,"banarasi,saree,red"
10,Embroidered Kanjeevaram Saree,Kanjeevaram Saree,Wedding,Meesho,12889,5.0,7,Ivory,XS,Female,Embroidered Kanjeevaram Saree for Wedding occasions.,"kanjeevaram,saree,ivory"
11,Embellished Silk Saree,Silk Saree,Wedding,Manyavar,17514,4.4,2,Ivory,XXL,Female,Embellished Silk Saree for Wedding occasions.,"silk,saree,ivory"
12,Heavy Anarkali Suit,Anarkali Suit,Wedding,Amazon,10782,4.1,2,Red,XXL,Female,Heavy Anarkali Suit for Wedding occasions.,"anarkali,suit,red"
13,Designer Sharara,Sharara,Wedding,Amazon,7933,4.4,6,Gold,S,Female,Designer Sharara for Wedding occasions.,"sharara,gold"
14,Zari Work Gharara,Gharara,Wedding,Myntra,8694,4.5,5,Red,XS,Female,Zari Work Gharara for Wedding occasions.,"gharara,red"
15,Zari Work Lehenga Choli,Lehenga Choli,Wedding,Myntra,12666,4.2,5,Royal Blue,Free Size,Female,Heavy embroidered lehenga choli with dupatta. Rich zari work and mirror embellishment.,"lehenga,choli,royal blue"
16,Heavy Banarasi Saree,Banarasi Saree,Wedding,Meesho,18464,4.2,2,Pink,L,Female,Heavy Banarasi Saree for Wedding occasions.,"banarasi,saree,pink"
17,Sequined Kanjeevaram Saree,Kanjeevaram Saree,Wedding,Meesho,10007,4.9,6,Deep Purple,XS,Female,Sequined Kanjeevaram Saree for Wedding occasions.,"kanjeevaram,saree,deep purple"
18,Bridal Silk Saree,Silk Saree,Wedding,Manyavar,5995,4.6,3,Gold,Free Size,Female,Bridal Silk Saree for Wedding occasions.,"silk,saree,gold"
19,Heavy Anarkali Suit,Anarkali Suit,Wedding,Myntra,12592,4.8,7,Pink,M,Female,Heavy Anarkali Suit for Wedding occasions.,"anarkali,suit,pink"
20,Sequined Sharara,Sharara,Wedding,Amazon,16655,3.9,8,Pink,M,Female,Sequined Sharara for Wedding occasions.,"sharara,pink"
21,Bridal Gharara,Gharara,Wedding,Meesho,16577,4.2,3,Ivory,M,Female,Bridal Gharara for Wedding occasions.,"gharara,ivory"
22,Embellished Lehenga Choli,Lehenga Choli,Wedding,Meesho,8677,4.5,8,Ivory,S,Female,Heavy embroidered lehenga choli with dupatta. Rich zari work and mirror embellishment.,"lehenga,choli,ivory"
23,Embroidered Banarasi Saree,Banarasi Saree,Wedding,Manyavar,13060,4.3,2,Deep Purple,XS,Female,Embroidered Banarasi Saree for Wedding occasions.,"banarasi,saree,deep purple"
24,Embellished Kanjeevaram Saree,Kanjeevaram Saree,Wedding,Manyavar,9548,4.3,4,Red,M,Female,Embellished Kanjeevaram Saree for Wedding occasions.,"kanjeevaram,saree,red"
25,Bridal Silk Saree,Silk Saree,Wedding,Manyavar,7711,4.8,8,Royal Blue,XL,Female,Bridal Silk Saree for Wedding occasions.,"silk,saree,royal blue"
26,Designer Anarkali Suit,Anarkali Suit,Wedding,Manyavar,5703,4.6,6,Royal Blue,L,Female,Designer Anarkali Suit for Wedding occasions.,"anarkali,suit,royal blue"
27,Embroidered Sharara,Sharara,Wedding,Myntra,16527,4.5,4,Cream,XL,Female,Embroidered Sharara for Wedding occasions.,"sharara,cream"
28,Heavy Gharara,Gharara,Wedding,Myntra,13898,4.7,5,Cream,M,Female,Heavy Gharara for Wedding occasions.,"gharara,cream"
29,Bridal Lehenga Choli,Lehenga Choli,Wedding,Manyavar,9852,3.9,5,Peach,M,Female,Heavy embroidered lehenga choli with dupatta. Rich zari work and mirror embellishment.,"lehenga,choli,peach"
30,Embellished Banarasi Saree,Banarasi Saree,Wedding,Myntra,19469,4.5,5,Red,XL,Female,Embellished Banarasi Saree for Wedding occasions.,"banarasi,saree,red"
31,Designer Kanjeevaram Saree,Kanjeevaram Saree,Wedding,Meesho,12919,4.4,8,Maroon,M,Female,Designer Kanjeevaram Saree for Wedding occasions.,"kanjeevaram,saree,maroon"
32,Sequined Silk Saree,Silk Saree,Wedding,Amazon,19475,4.6,4,Deep Purple,XXL,Female,Sequined Silk Saree for Wedding occasions.,"silk,saree,deep purple"
33,Designer Anarkali Suit,Anarkali Suit,Wedding,Meesho,14584,4.5,5,Deep Purple,Free Size,Female,Designer Anarkali Suit for Wedding occasions.,"anarkali,suit,deep purple"
34,Embroidered Sharara,Sharara,Wedding,Meesho,5324,4.2,6,Red,XXL,Female,Embroidered Sharara for Wedding occasions.,"sharara,red"
35,Embellished Gharara,Gharara,Wedding,Meesho,18007,4.9,2,Pink,M,Female,Embellished Gharara for Wedding occasions.,"gharara,pink"
36,Zari Work Lehenga Choli,Lehenga Choli,Wedding,Myntra,13605,4.5,8,Cream,L,Female,Heavy embroidered lehenga choli with dupatta. Rich zari work and mirror embellishment.,"lehenga,choli,cream"
37,Bridal Banarasi Saree,Banarasi Saree,Wedding,Manyavar,19626,4.5,8,Peach,XXL,Female,Bridal Banarasi Saree for Wedding occasions.,"banarasi,saree,peach"
38,Sequined Kanjeevaram Saree,Kanjeevaram Saree,Wedding,Manyavar,19576,4.1,4,Gold,Free Size,Female,Sequined Kanjeevaram Saree for Wedding occasions.,"kanjeevaram,saree,gold"
39,Heavy Silk Saree,Silk Saree,Wedding,Manyavar,6023,5.0,5,Ivory,Free Size,Female,Heavy Silk Saree for Wedding occasions.,"silk,saree,ivory"
40,Bridal Anarkali Suit,Anarkali Suit,Wedding,Myntra,10188,4.0,5,Gold,M,Female,Bridal Anarkali Suit for Wedding occasions.,"anarkali,suit,gold"
41,Embroidered Sharara,Sharara,Wedding,Meesho,19155,4.9,7,Gold,Free Size,Female,Embroidered Sharara for Wedding occasions.,"sharara,gold"
42,Sequined Gharara,Gharara,Wedding,Manyavar,19533,4.6,4,Pink,XL,Female,Sequined Gharara for Wedding occasions.,"gharara,pink"
43,Designer Lehenga Choli,Lehenga Choli,Wedding,Myntra,19345,4.0,2,Cream,XXL,Female,Heavy embroidered lehenga choli with dupatta. Rich zari work and mirror embellishment.,"lehenga,choli,cream"
44,Embroidered Banarasi Saree,Banarasi Saree,Wedding,Myntra,12916,4.1,2,Pink,XS,Female,Embroidered Banarasi Saree for Wedding occasions.,"banarasi,saree,pink"
45,Bridal Kanjeevaram Saree,Kanjeevaram Saree,Wedding,Manyavar,13458,4.6,7,Red,XS,Female,Bridal Kanjeevaram Saree for Wedding occasions.,"kanjeevaram,saree,red"
46,Bridal Silk Saree,Silk Saree,Wedding,Meesho,11556,4.0,8,Gold,Free Size,Female,Bridal Silk Saree for Wedding occasions.,"silk,saree,gold"
